phylum;taxon_id_parent;n_hok_1980-1999;n_hok_2000-2019;n_hok_tot_1980-1999;n_hok_tot_2000-2019;prop_baseline;prop_2000_2019;ell_l;ell_n;ell_f;ell_r;ell_t;substrate;residuals_model_substrate;residuals_model_ellenberg
Bryophyta; 709; 72; 37;227;227;0,32158590;0,167400881;6;3; 6;4;3;soil on rock; -6,811999141;-6,485703893
Bryophyta; 710; 43; 25;227;227;0,19383260;0,114537445;7;3; 7;4;3;gravel or sand; -4,424682733;-3,988120104
Bryophyta; 710; 43; 25;227;227;0,19383260;0,114537445;7;3; 7;4;3;mineral soil; -4,103426893;-3,988120104
Bryophyta; 711; 37; 14;227;227;0,16740088;0,066079295;7;3; 7;4;3;mineral soil; -5,093813588;-5,001635499
Bryophyta; 715; 15; 13;227;227;0,07048458;0,061674009;5;2; 7;4;3;gravel or sand; -1,838871665;-1,993869111
Bryophyta; 715; 15; 13;227;227;0,07048458;0,061674009;5;2; 7;4;3;mineral soil; -1,615080587;-1,993869111
Bryophyta; 716; 58; 24;227;227;0,25991189;0,110132159;6;4; 6;5;3;mineral soil; -6,141278302;-6,418405122
Bryophyta; 717; 32; 11;227;227;0,14537445;0,052863436;5;4; 5;5;2;mineral soil; -4,938865641;-5,483591191
Bryophyta; 718; 67; 52;227;227;0,29955947;0,233480176;6;6; 7;7;5;mineral soil; -3,233229333;-3,066703193
Bryophyta; 719;157;150;227;227;0,69603524;0,665198238;5;2; 5;2;3;decaying vegetation; -1,684479443;-2,802062182
Bryophyta; 719;157;150;227;227;0,69603524;0,665198238;5;2; 5;2;3;decorticated wood; -2,327690802;-2,802062182
Bryophyta; 719;157;150;227;227;0,69603524;0,665198238;5;2; 5;2;3;epiphytic on living wood; -4,407465280;-2,802062182
Bryophyta; 719;157;150;227;227;0,69603524;0,665198238;5;2; 5;2;3;gravel or sand; -1,648105555;-2,802062182
Bryophyta; 719;157;150;227;227;0,69603524;0,665198238;5;2; 5;2;3;peat; -2,051979790;-2,802062182
Bryophyta; 719;157;150;227;227;0,69603524;0,665198238;5;2; 5;2;3;rock, hard; -2,672067265;-2,802062182
