id	code	naam_nederlands	naam_wetenschappelijk	taxn_vrs_key	taxongroep	usageKey	scientificName	rank	order	matchType	phylum	kingdom	genus	class	confidence	synonym	status	family
8328	octodfon	Watervedermos	Fissidens fontanus (Bach.Pyl.) Steud.	INBSYS0000000538	Mossen	5283137	Fissidens fontanus Steudel, 1824	SPECIES	Fissidentales	EXACT	Bryophyta	Plantae	Fissidens	Bryopsida	100	FALSE	ACCEPTED	Fissidentaceae
8329	sematmic	Steendekmos	Hageniella micans (Mitt.) B.C.Tan & Y.Jia	INBSYS0000000658	Mossen	5283543	Hageniella micans B.C.Tan & Jia Yu, 1999	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Hageniella	Bryopsida	100	FALSE	ACCEPTED	Sematophyllaceae
8330	amblyflu	Rivierpluisdraadmos	Hygroamblystegium fluviatile (Hedw.) Loeske	INBSYS0000000611	Mossen	2681736	Hygroamblystegium fluviatile Loeske, 1903	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Hygroamblystegium	Bryopsida	100	FALSE	ACCEPTED	Amblystegiaceae
8331	amblyhum	Kleipluisdraadmos	Hygroamblystegium humile (P.Beauv.) Vanderp., Goffinet & Hedenäs	INBSYS0000000672	Mossen	7755378	Hygroamblystegium humile (P.Beauv.) Vanderp., Goffinet & Hedenäs	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Hygroamblystegium	Bryopsida	100	FALSE	ACCEPTED	Amblystegiaceae
8332	amblyten	Waterpluisdraadmos	Hygroamblystegium tenax (Hedw.) Jenn.	INBSYS0000000607	Mossen	2681735	Hygroamblystegium tenax Jennings, 1913	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Hygroamblystegium	Bryopsida	100	FALSE	ACCEPTED	Amblystegiaceae
8333	amblyvar	Groot pluisdraadmos	Hygroamblystegium varium (Hedw.) Mönk.	INBSYS0000000617	Mossen	7742683	Hygroamblystegium varium (Hedw.) Mönk.	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Hygroamblystegium	Bryopsida	100	FALSE	ACCEPTED	Amblystegiaceae
8334	hylocpyr	Alpenetagemos	Hylocomiastrum pyrenaicum (Spruce) M.Fleisch.	INBSYS0000000702	Mossen	2679703	Hylocomiastrum pyrenaicum Fleischer, 1925	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Hylocomiastrum	Bryopsida	100	FALSE	ACCEPTED	Hylocomiaceae
8335	hylocumb	Bergetagemos	Hylocomiastrum umbratum (Hedw.) M.Fleisch.	INBSYS0000000614	Mossen	2679704	Hylocomiastrum umbratum Fleischer, 1925	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Hylocomiastrum	Bryopsida	100	FALSE	ACCEPTED	Hylocomiaceae
8336	eurhypra	Fijn laddermos	Kindbergia praelonga (Hedw.) Ochyra	INBSYS0000000620	Mossen	4279479	Kindbergia praelonga (Hedw.) Ochyra	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Kindbergia	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8337	leiocban	Klein gladkelkje	Leiocolea collaris (Nees) Schljakov	INBSYS0000000671	Mossen	5837702	Leiocolea collaris (Nees) Schljakov	SPECIES	Jungermanniales	EXACT	Marchantiophyta	Plantae	Mesoptychia	Jungermanniopsida	100	TRUE	SYNONYM	Jungermanniaceae
8338	hylocbre	Grof etagemos	Loeskeobryum brevirostre (Brid.) M.Fleisch.	INBSYS0000000551	Mossen	2679701	Loeskeobryum brevirostre Fleischer, 1925	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Loeskeobryum	Bryopsida	100	FALSE	ACCEPTED	Hylocomiaceae
8339	metzgfru	Blauw boomvorkje	Metzgeria violacea (Ach.) Dumort.	INBSYS0000000535	Mossen	5286379	Metzgeria violacea (Ach.) Dumort.	SPECIES	Metzgeriales	EXACT	Marchantiophyta	Plantae	Metzgeria	Jungermanniopsida	100	FALSE	ACCEPTED	Metzgeriaceae
